ID Inmueble,Tipo,Título,Calle,Barrio,Distrito,Ciudad,Área,Precio,Comunidad,Precio/m²,Características,Habitaciones,Baños,Referencia,Anunciante,Nombre Anunciante,Última Actualización,Teléfono,URL
105236581,venta,Piso en venta en Santa María de Gracia,"
Barrio Santa María de Gracia
","
Distrito Norte
","
Murcia
","
Área de Murcia, Murcia
",,215.000€,,2.150 €/m²,"['100 m² construidos, 87 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Orientación oeste', 'Construido en 1970', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']",3 habitaciones,2 baños,12182AD,Profesional,VIVENTA GRUPO INMOBILIARIO,Anuncio actualizado el 12 de julio,34868350047.0,https://www.idealista.com/inmueble/105236581/
105427205,venta,Piso en venta en calle Huerto Cadenas,"
Calle Huerto Cadenas
","
Barrio San Antón
","
Distrito Centro
","
Murcia
","
Área de Murcia, Murcia
",210.000€,,3.333 €/m²,"['63 m² construidos', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1993', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']",2 habitaciones,1 baño,PIS0344,Profesional,"GESTION MURCIA ACTIVA, S.L.",Anuncio actualizado el 2 de agosto,34868350260.0,https://www.idealista.com/inmueble/105427205/
103810226,venta,"Piso en venta en avenida Ciudad de Almería, 34","
Avenida Ciudad de Almería, 34
","
Barrio La Purísima-Barriomar
","
Distrito Sur
","
Murcia
","
Área de Murcia, Murcia
",275.500€,,2.811 €/m²,"['98 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Promoción de obra nueva', 'Armarios empotrados', 'Trastero', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,2 baños,2 3 B,Profesional,Rosso inmobiliaria,Anuncio actualizado el 29 de abril,34851813103.0,https://www.idealista.com/inmueble/103810226/
103350495,venta,"Piso en venta en avenida Ciudad de Almería, 34","
Avenida Ciudad de Almería, 34
","
Barrio La Purísima-Barriomar
","
Distrito Sur
","
Murcia
","
Área de Murcia, Murcia
",182.900€,,2.230 €/m²,"['82 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Armarios empotrados', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,2 baños,2 1 A,Profesional,Rosso inmobiliaria,Anuncio actualizado el 29 de abril,34851813103.0,https://www.idealista.com/inmueble/103350495/
103350561,venta,"Piso en venta en avenida Ciudad de Almería, 34","
Avenida Ciudad de Almería, 34
","
Barrio La Purísima-Barriomar
","
Distrito Sur
","
Murcia
","
Área de Murcia, Murcia
",189.300€,,2.337 €/m²,"['81 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Armarios empotrados', 'Planta 2ª exterior', 'Con ascensor']",2 habitaciones,2 baños,1 2 E,Profesional,Rosso inmobiliaria,Anuncio actualizado el 29 de abril,34851813103.0,https://www.idealista.com/inmueble/103350561/
104280549,venta,Dúplex en venta en avenida Nueva Condomina,"
Avenida Nueva Condomina
","
Barrio Churra
","
Distrito Pedanías Norte
","
Murcia
","
Área de Murcia, Murcia
",404.700€,,1.310 €/m²,"['309 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 2009', 'Calefacción individual: Bomba de frío/calor', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 12ª exterior', 'Con ascensor']",4 habitaciones,2 baños,8037-VI-000-002-012-00A,Profesional,Kellify .,Anuncio actualizado el 26 de julio,34911367833.0,https://www.idealista.com/inmueble/104280549/
104735433,venta,Piso en venta en calle José Paredes,"
Calle José Paredes
","
Barrio La Alberca
","
Distrito Pedanías Este
","
Murcia
","
Área de Murcia, Murcia
",144.900€,,1.525 €/m²,"['95 m² construidos, 77 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 1982', 'Calefacción individual: Eléctrica', 'Entreplanta exterior', 'Con ascensor']",3 habitaciones,1 baño,ERF,Profesional,Solvivienda,Anuncio actualizado el 2 de julio,34868350230.0,https://www.idealista.com/inmueble/104735433/
103012956,venta,"Piso en venta en calle Santa Cecilia, 24","
Calle Santa Cecilia, 24
","
Barrio Zona Juan de Borbón
","
Distrito Norte
","
Murcia
","
Área de Murcia, Murcia
",242.880€,,2.007 €/m²,"['121 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Bajo exterior', 'Con ascensor']",3 habitaciones,2 baños,Esc 1 Bajo B,Profesional,Open Club Inmogestion,Anuncio actualizado el 1 de febrero,34868355616.0,https://www.idealista.com/inmueble/103012956/
104877470,venta,Piso en venta en San Miguel,"
Barrio San Miguel
","
Distrito Centro
","
Murcia
","
Área de Murcia, Murcia
",,489.000€,,3.912 €/m²,"['125 m² construidos, 115 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 5ª', 'Con ascensor']",4 habitaciones,2 baños,PIS_1268,Profesional,Ana Rios Gomez,Anuncio actualizado el 25 de julio,34868350715.0,https://www.idealista.com/inmueble/104877470/
103013007,venta,"Piso en venta en calle Santa Cecilia, 24","
Calle Santa Cecilia, 24
","
Barrio Zona Juan de Borbón
","
Distrito Norte
","
Murcia
","
Área de Murcia, Murcia
",191.525€,,2.487 €/m²,"['77 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Promoción de obra nueva', 'Bajo exterior', 'Con ascensor']",2 habitaciones,2 baños,Esc 1 Bajo E,Profesional,Open Club Inmogestion,Anuncio actualizado el 1 de febrero,34868355616.0,https://www.idealista.com/inmueble/103013007/
